Date,Ticker,Type,Price,Shares,Cash_after
2023-06-22 04:00:00,AWK,BUY,140.75948122349138,10.0,69973.45886357933
2023-06-23 04:00:00,AON,BUY,327.47125097756094,4.0,68663.5738596691
2023-06-28 04:00:00,AWK,SELL,134.78356588172684,10.0,70011.40951848637
2023-07-03 04:00:00,ABT,BUY,103.090548626894,13.0,68671.23238633675
2023-07-03 04:00:00,AVY,BUY,164.8611213439585,8.0,67352.34341558508
2023-07-06 04:00:00,ADM,BUY,71.01877940876814,18.0,66074.00538622726
2023-07-07 04:00:00,AMT,BUY,180.61730484226337,7.0,64809.68425233142
2023-07-10 04:00:00,ACGL,BUY,71.10818858128899,18.0,63529.736857868214
2023-07-10 04:00:00,APA,BUY,31.642983817284208,40.0,62264.017505176846
2023-07-13 04:00:00,APTV,BUY,112.9000015258789,11.0,61022.11748839218
2023-07-14 04:00:00,AES,BUY,19.3413224994754,63.0,59803.614170925226
2023-07-17 04:00:00,AEE,BUY,79.383119455037,15.0,58612.86737909967
2023-07-18 04:00:00,AMGN,BUY,212.26371999674265,5.0,57551.548779115954
2023-07-18 04:00:00,AEP,BUY,77.79600828265664,14.0,56462.40466315876
2023-07-19 04:00:00,AMP,SELL,341.0694306470472,5.0,58167.751816394
2023-07-19 04:00:00,ANET,SELL,43.6150016784668,39.0,59868.7368818542
2023-07-20 04:00:00,ARE,BUY,106.66546918962958,11.0,58695.41672076828
2023-07-21 04:00:00,AIZ,BUY,125.32704536718542,9.0,57567.47331246361
2023-07-24 04:00:00,A,BUY,125.4875107882518,9.0,56438.08571536934
2023-07-25 04:00:00,AWK,BUY,139.0601813534026,8.0,55325.604264542126
2023-07-25 04:00:00,ABBV,BUY,131.42141023782358,8.0,54274.232982639536
2023-07-26 04:00:00,ALB,SELL,203.59388361354385,6.0,55495.7962843208
2023-07-26 04:00:00,AMT,SELL,173.34217182664125,7.0,56709.19148710729
2023-07-27 04:00:00,ALGN,SELL,403.8299865722656,4.0,58324.51143339635
2023-07-27 04:00:00,AMCR,BUY,9.21133337880343,126.0,57163.88342766712
2023-07-31 04:00:00,AMAT,SELL,148.9076346132726,12.0,58950.77504302639
2023-08-03 04:00:00,ALL,BUY,100.74595277228796,11.0,57842.56956253122
2023-08-04 04:00:00,APA,SELL,38.39812683334655,40.0,59378.494635865085
2023-08-07 04:00:00,AES,SELL,17.718564247571212,63.0,60494.76418346207
2023-08-07 04:00:00,ALL,SELL,105.0439547028708,11.0,61650.24768519365
2023-08-08 04:00:00,AEP,SELL,73.26197619288475,14.0,62675.91535189404
2023-08-08 04:00:00,ALLE,SELL,108.45173849528334,14.0,64194.239690828006
2023-08-08 04:00:00,AON,SELL,313.3754157609546,4.0,65447.741353871825
2023-08-09 04:00:00,ADSK,SELL,203.6999969482422,7.0,66873.64133250952
2023-08-09 04:00:00,AKAM,SELL,101.5,19.0,68802.14133250952
2023-08-10 04:00:00,AMCR,SELL,8.77828353450472,126.0,69908.20505785712
2023-08-10 04:00:00,AWK,SELL,133.74179347538305,8.0,70978.13940566019
2023-08-11 04:00:00,AEE,SELL,74.98018483163253,15.0,72102.84217813467
2023-08-11 04:00:00,APTV,SELL,101.83999633789062,11.0,73223.08213785147
2023-08-14 04:00:00,APD,SELL,271.64625177691227,5.0,74581.31339673603
2023-08-15 04:00:00,ABT,SELL,101.57547974404706,13.0,75901.79463340864
2023-08-15 04:00:00,ADI,SELL,175.94513159837618,8.0,77309.35568619566
2023-08-15 04:00:00,ATO,SELL,109.4679959044222,13.0,78732.43963295314
2023-08-17 04:00:00,AXON,BUY,200.4199981689453,7.0,77329.49964577053
2023-08-18 04:00:00,ACN,SELL,292.63962942828226,5.0,78792.69779291195
2023-08-18 04:00:00,AOS,SELL,66.66140181857018,23.0,80325.91003473906
2023-08-18 04:00:00,AXP,SELL,155.0320403684556,9.0,81721.19839805516
2023-08-23 04:00:00,BAC,SELL,26.81757354736328,57.0,83249.80009025487
2023-08-24 04:00:00,ARE,SELL,104.70683978832068,11.0,84401.57532792639
2023-08-25 04:00:00,A,SELL,117.79818858438308,9.0,85461.75902518583
2023-08-25 04:00:00,ACGL,SELL,71.76430931365486,18.0,86753.51659283163
2023-08-25 04:00:00,AIG,SELL,55.45731067413383,30.0,88417.23591305564
2023-08-28 04:00:00,AMAT,BUY,142.7282727418014,12.0,86704.49664015403
2023-08-30 04:00:00,ACN,BUY,312.9033181459196,5.0,85139.98004942443
2023-08-31 04:00:00,ADSK,BUY,221.7400054931641,7.0,83587.80001097228
2023-09-05 04:00:00,ADM,SELL,74.05032661337617,18.0,84920.70589001305
2023-09-05 04:00:00,AON,BUY,328.9088774022646,5.0,83276.16150300173
2023-09-05 04:00:00,AVGO,BUY,84.34046008715211,19.0,81673.69276134584
2023-09-08 04:00:00,AVGO,SELL,82.9330402837916,19.0,83249.42052673789
2023-09-08 04:00:00,BA,SELL,215.8300018310547,7.0,84760.23053955527
2023-09-11 04:00:00,APD,BUY,282.9719610274261,5.0,83345.37073441813
2023-09-12 04:00:00,AVGO,BUY,82.47132172734852,20.0,81695.94429987116
2023-09-13 04:00:00,AVGO,SELL,82.17548203598662,20.0,83339.45394059089
2023-09-13 04:00:00,AMP,BUY,338.161111205028,4.0,81986.80949577078
2023-09-13 04:00:00,ACGL,BUY,74.94982498664584,21.0,80412.86317105121
2023-09-14 04:00:00,AIG,BUY,58.46239110582151,27.0,78834.37861119403
2023-09-14 04:00:00,ALL,BUY,105.25744534459466,14.0,77360.7743763697
2023-09-18 04:00:00,APTV,BUY,101.55999755859376,15.0,75837.3744129908
2023-09-19 04:00:00,APTV,SELL,101.06999969482422,15.0,77353.42440841316
2023-09-20 04:00:00,AMAT,SELL,136.2946282386501,12.0,78988.95994727696
2023-09-21 04:00:00,AMGN,SELL,255.57974298554265,5.0,80266.85866220467
2023-09-22 04:00:00,ADP,SELL,227.56426984508,7.0,81859.80855112024
2023-09-25 04:00:00,ACN,SELL,304.93119165326146,5.0,83384.46450938654
2023-09-25 04:00:00,ADSK,SELL,203.00999450683597,7.0,84805.53447093439
2023-09-27 04:00:00,AMP,SELL,318.91569480163275,4.0,86081.19725014092
2023-09-29 04:00:00,APD,SELL,273.24709418054323,5.0,87447.43272104363
2023-10-02 04:00:00,AME,SELL,145.8072115262223,10.0,88905.50483630586
2023-10-03 04:00:00,AXON,SELL,195.38999938964844,7.0,90273.2348320334
2023-10-04 04:00:00,AVY,SELL,175.32541385232736,8.0,91675.83814285202
2023-10-09 04:00:00,AON,SELL,320.2813906957683,5.0,93277.24509633087
2023-10-09 04:00:00,AVY,BUY,176.90778584726925,10.0,91508.16723785817
2023-10-10 04:00:00,ABBV,SELL,137.87253873738686,8.0,92611.14754775727
2023-10-12 04:00:00,AXON,BUY,220.67999267578125,8.0,90845.70760635102
2023-10-16 04:00:00,ADBE,BUY,553.1799926757812,3.0,89186.16762832367
2023-10-16 04:00:00,AVGO,BUY,86.89273511862679,20.0,87448.31292595113
2023-10-17 04:00:00,AMD,BUY,103.54000091552734,16.0,85791.6729113027
2023-10-18 04:00:00,ADP,BUY,239.00860348898885,7.0,84118.61268687977
2023-10-18 04:00:00,AVB,BUY,166.50304077229055,10.0,82453.58227915686
2023-10-18 04:00:00,ADSK,BUY,211.3500061035156,7.0,80974.13223643226
2023-10-18 04:00:00,AOS,BUY,67.88982505998543,23.0,79412.66626005259
2023-10-23 04:00:00,ADSK,SELL,201.6199951171875,7.0,80824.0062258729
2023-10-23 04:00:00,AVY,SELL,166.86354856867507,10.0,82492.64171155966
2023-10-24 04:00:00,ADP,SELL,230.81082019251983,7.0,84108.3174529073
2023-10-24 04:00:00,AVB,SELL,156.60649542264855,10.0,85674.38240713379
2023-10-25 04:00:00,AMD,SELL,100.41999816894533,16.0,87281.10237783691
2023-10-26 04:00:00,AOS,SELL,63.76308481699044,23.0,88747.6533286277
2023-10-31 04:00:00,AXON,SELL,202.32000732421875,8.0,90366.21338722145
2023-11-01 04:00:00,ADBE,SELL,535.0,3.0,91971.21338722145
2023-11-01 04:00:00,AIZ,SELL,153.82454204310218,9.0,93355.63426560936
2023-11-02 04:00:00,ALL,SELL,129.68040100152808,14.0,95171.15987963075
2023-11-02 04:00:00,AVGO,SELL,84.06741125959957,20.0,96852.50810482274
2023-11-03 04:00:00,AFL,SELL,78.51795339739262,24.0,98736.93898636017
2023-11-03 04:00:00,AMT,BUY,174.18485107774424,11.0,96820.90562450499
2023-11-06 05:00:00,AVGO,BUY,85.9750082896087,22.0,94929.45544213359
2023-11-06 05:00:00,AOS,BUY,68.95420420697207,27.0,93067.69192854535
2023-11-07 05:00:00,APH,BUY,41.35253756154943,45.0,91206.82773827562
2023-11-07 05:00:00,AEP,BUY,72.70020139126677,25.0,89389.32270349395
2023-11-08 05:00:00,ADBE,BUY,589.0,3.0,87622.32270349395
2023-11-08 05:00:00,AES,BUY,14.813622318998329,118.0,85874.31526985214
2023-11-08 05:00:00,AMZN,BUY,142.97000122070312,12.0,84158.6752552037
2023-11-09 05:00:00,AMD,BUY,114.0999984741211,14.0,82561.27527656601
2023-11-10 05:00:00,AKAM,BUY,110.19000244140624,14.0,81018.61524238632
2023-11-13 05:00:00,BAC,BUY,26.1761213975408,61.0,79421.87183713634
2023-11-14 05:00:00,ACN,BUY,310.32951274666283,5.0,77870.22427340302
2023-11-14 05:00:00,AMP,BUY,331.6842968622938,4.0,76543.48708595384
2023-11-14 05:00:00,AMAT,BUY,150.31109026488724,10.0,75040.37618330496
2023-11-15 05:00:00,AAPL,BUY,186.09257648247507,8.0,73551.63557144516
2023-11-15 05:00:00,ATO,BUY,107.96904797601032,13.0,72148.03794775702
