Ticker,EntryDate,ExitDate,EntryPrice,ExitPrice,Shares,RealizedPNL
AXON,2023-08-17 04:00:00,2023-10-03 04:00:00,200.4199981689453,195.38999938964844,46.0,-231.37994384765625
AVY,2023-07-03 04:00:00,2023-10-04 04:00:00,164.8611213439585,175.32541385232736,1.0,10.464292508368857
AON,2023-09-05 04:00:00,2023-10-09 04:00:00,328.9088774022646,320.2813906957683,15.0,-129.41230059744385
AVY,2023-10-09 04:00:00,2023-10-23 04:00:00,176.90778584726925,166.86354856867507,211.0,-2119.3340657833724
ADP,2023-10-18 04:00:00,2023-10-24 04:00:00,239.00860348898885,230.81082019251983,5.0,-40.98891648234513
AVB,2023-10-18 04:00:00,2023-10-24 04:00:00,166.50304077229055,156.60649542264855,4.0,-39.58618139856799
AMD,2023-10-17 04:00:00,2023-10-25 04:00:00,103.54000091552734,100.41999816894533,25.0,-78.00006866455043
AOS,2023-10-18 04:00:00,2023-10-26 04:00:00,67.88982505998543,63.76308481699044,5.0,-20.63370121497492
ADSK,2023-10-10 04:00:00,2023-10-30 04:00:00,211.1499938964844,196.0800018310547,88.0,-1326.159301757815
AXON,2023-10-12 04:00:00,2023-10-31 04:00:00,220.67999267578125,202.32000732421875,42.0,-771.119384765625
AZO,2023-09-05 04:00:00,2023-10-31 04:00:00,2527.5400390625,2473.47998046875,1.0,-54.06005859375
ADBE,2023-10-16 04:00:00,2023-11-01 04:00:00,553.1799926757812,535.0,8.0,-145.43994140625
AIZ,2023-07-21 04:00:00,2023-11-01 04:00:00,125.32704536718542,153.82454204310218,12.0,341.96996011100117
ALL,2023-09-14 04:00:00,2023-11-02 04:00:00,105.25744534459466,129.68040100152808,2.0,48.84591131386685
ABBV,2023-08-03 04:00:00,2023-11-03 04:00:00,137.47568841664432,134.181695126685,65.0,-214.1095638473547
AFL,2023-06-09 04:00:00,2023-11-03 04:00:00,65.06408413067466,78.51795339739262,21.0,282.53125460107714
ACGL,2023-09-13 04:00:00,2023-12-08 05:00:00,74.94982498664584,74.81669791892159,15.0,-1.9969060158636864
AMD,2023-11-09 05:00:00,2023-12-13 05:00:00,114.0999984741211,137.97000122070312,3.0,71.6100082397461
AES,2023-11-08 05:00:00,2023-12-14 05:00:00,14.813622318998329,17.87226744118822,104.0,318.0990927077488
BAC,2023-11-13 05:00:00,2023-12-15 05:00:00,26.1761213975408,32.40166613776288,9.0,56.02990266199872
AJG,2023-06-16 04:00:00,2023-12-19 05:00:00,211.8197684187175,223.82771703758343,41.0,492.32589337350294
APTV,2023-12-22 05:00:00,2024-01-04 05:00:00,88.88999938964844,81.0,60.0,-473.39996337890625
ALB,2023-12-27 05:00:00,2024-01-05 05:00:00,148.22810356083565,131.03368121099172,16.0,-275.1107575975029
ADBE,2023-11-08 05:00:00,2024-01-08 05:00:00,589.0,567.8699951171875,4.0,-84.52001953125
APD,2024-01-02 05:00:00,2024-01-17 05:00:00,260.2651658149944,246.6273363872163,5.0,-68.18914713889058
AMGN,2023-08-10 04:00:00,2024-01-23 05:00:00,243.7133144080795,293.0555037865478,30.0,1480.2656813540484
AEP,2023-11-07 05:00:00,2024-01-24 05:00:00,72.70020139126677,73.07319017466149,147.0,54.82935115902346
AMT,2023-11-03 04:00:00,2024-01-25 05:00:00,174.18485107774424,188.13307174890505,244.0,3403.365843763238
AMCR,2023-11-15 05:00:00,2024-01-29 05:00:00,8.500635566202805,8.828644261858052,9.0,2.9520782608972294
AJG,2024-01-29 05:00:00,2024-01-31 05:00:00,228.7340095561651,228.00495963364185,38.0,-27.703897055883317
AVB,2023-12-13 05:00:00,2024-02-06 05:00:00,163.26026233319834,160.26356499723002,2.0,-5.993394671936642
AOS,2023-11-06 05:00:00,2024-02-09 05:00:00,68.95420420697207,77.72502000002501,309.0,2710.1820800533606
APH,2023-11-14 05:00:00,2024-02-09 05:00:00,43.04460396877832,51.762333239689866,2.0,17.435458541823095
APTV,2024-02-06 05:00:00,2024-02-09 05:00:00,81.72000122070312,81.12000274658203,109.0,-65.39983367919922
AMZN,2023-11-08 05:00:00,2024-02-12 05:00:00,142.97000122070312,174.8000030517578,5.0,159.15000915527344
A,2024-02-07 05:00:00,2024-02-14 05:00:00,134.7369585235993,129.28903784592617,33.0,-179.7813823632131
AMAT,2024-01-22 05:00:00,2024-02-16 05:00:00,165.54686186741674,198.85704218853647,20.0,666.2036064223946
ADBE,2024-01-26 05:00:00,2024-02-20 05:00:00,620.7000122070312,531.5,55.0,-4906.000671386719
A,2024-02-15 05:00:00,2024-02-22 05:00:00,131.25305883590036,130.74969892350526,45.0,-22.6511960577794
AIG,2023-09-14 04:00:00,2024-03-01 05:00:00,58.46239110582151,70.18726348876953,9.0,105.52385144653219
ABBV,2023-12-13 05:00:00,2024-03-07 05:00:00,142.5989582556693,171.4493572860042,5.0,144.2519951516745
ALB,2024-03-12 04:00:00,2024-03-13 04:00:00,122.95415671756186,118.89985934368414,1.0,-4.054297373877716
ADP,2023-12-14 05:00:00,2024-03-19 04:00:00,231.41993531304496,235.06304868236072,5.0,18.21556684657878
AZO,2023-11-08 05:00:00,2024-03-22 04:00:00,2658.550048828125,3207.300048828125,2.0,1097.5
AMT,2024-03-12 04:00:00,2024-03-27 04:00:00,194.0962833067411,184.6042320685168,1.0,-9.492051238224292
AWK,2024-04-11 04:00:00,2024-04-12 04:00:00,114.42847426766576,113.13274208690646,9.0,-11.661589626833717
AJG,2024-02-12 05:00:00,2024-04-12 04:00:00,235.4629789467304,234.51898718385624,81.0,-76.46333279280717
AES,2024-04-02 04:00:00,2024-04-16 04:00:00,16.41070198851691,14.719348986195444,214.0,-361.9495424967935
ALB,2024-04-09 04:00:00,2024-04-16 04:00:00,129.0249579266882,113.45498463919488,11.0,-171.26970616242642
AMCR,2024-03-14 04:00:00,2024-04-16 04:00:00,8.894704813031069,8.368724818950538,11.0,-5.785779934885843
AON,2024-02-15 05:00:00,2024-04-17 04:00:00,304.8301610616569,301.39274731779506,38.0,-130.62172226674988
AFL,2024-03-12 04:00:00,2024-04-19 04:00:00,80.45242161441855,78.9408525848865,7.0,-10.580983206724383
APD,2024-03-19 04:00:00,2024-04-22 04:00:00,235.00606059858404,223.280654956784,2.0,-23.450811283600103
A,2024-02-29 05:00:00,2024-04-22 04:00:00,135.71401387090654,132.00994621589612,47.0,-174.09117978548971
AEP,2024-02-23 05:00:00,2024-04-22 04:00:00,77.013638711466,78.88263002600345,165.0,308.38356689867976
ADI,2024-03-11 04:00:00,2024-04-23 04:00:00,189.8045363375436,182.39179852709657,6.0,-44.47642686268216
